,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date,state,cases_import,cases_new,cases_recovered
0,0,0,0,2020-01-25,Johor,4,4,0
1,1,1,1,2020-01-25,Kedah,0,0,0
2,2,2,2,2020-01-25,Kelantan,0,0,0
3,3,3,3,2020-01-25,Melaka,0,0,0
4,4,4,4,2020-01-25,Negeri Sembilan,0,0,0
5,5,5,5,2020-01-25,Pahang,0,0,0
6,6,6,6,2020-01-25,Perak,0,0,0
7,7,7,7,2020-01-25,Perlis,0,0,0
8,8,8,8,2020-01-25,Pulau Pinang,0,0,0
9,9,9,9,2020-01-25,Sabah,0,0,0
10,10,10,10,2020-01-25,Sarawak,0,0,0
11,11,11,11,2020-01-25,Selangor,0,0,0
12,12,12,12,2020-01-25,Terengganu,0,0,0
13,13,13,13,2020-01-25,W.P. Kuala Lumpur,0,0,0
14,14,14,14,2020-01-25,W.P. Labuan,0,0,0
15,15,15,15,2020-01-25,W.P. Putrajaya,0,0,0
16,16,16,16,2020-01-26,Johor,0,0,0
17,17,17,17,2020-01-26,Kedah,0,0,0
18,18,18,18,2020-01-26,Kelantan,0,0,0
19,19,19,19,2020-01-26,Melaka,0,0,0
20,20,20,20,2020-01-26,Negeri Sembilan,0,0,0
21,21,21,21,2020-01-26,Pahang,0,0,0
22,22,22,22,2020-01-26,Perak,0,0,0
23,23,23,23,2020-01-26,Perlis,0,0,0
24,24,24,24,2020-01-26,Pulau Pinang,0,0,0
25,25,25,25,2020-01-26,Sabah,0,0,0
26,26,26,26,2020-01-26,Sarawak,0,0,0
27,27,27,27,2020-01-26,Selangor,0,0,0
28,28,28,28,2020-01-26,Terengganu,0,0,0
29,29,29,29,2020-01-26,W.P. Kuala Lumpur,0,0,0
30,30,30,30,2020-01-26,W.P. Labuan,0,0,0
31,31,31,31,2020-01-26,W.P. Putrajaya,0,0,0
32,32,32,32,2020-01-27,Johor,0,0,0
33,33,33,33,2020-01-27,Kedah,0,0,0
34,34,34,34,2020-01-27,Kelantan,0,0,0
35,35,35,35,2020-01-27,Melaka,0,0,0
36,36,36,36,2020-01-27,Negeri Sembilan,0,0,0
37,37,37,37,2020-01-27,Pahang,0,0,0
38,38,38,38,2020-01-27,Perak,0,0,0
39,39,39,39,2020-01-27,Perlis,0,0,0
40,40,40,40,2020-01-27,Pulau Pinang,0,0,0
41,41,41,41,2020-01-27,Sabah,0,0,0
42,42,42,42,2020-01-27,Sarawak,0,0,0
43,43,43,43,2020-01-27,Selangor,0,0,0
44,44,44,44,2020-01-27,Terengganu,0,0,0
45,45,45,45,2020-01-27,W.P. Kuala Lumpur,0,0,0
46,46,46,46,2020-01-27,W.P. Labuan,0,0,0
47,47,47,47,2020-01-27,W.P. Putrajaya,0,0,0
48,48,48,48,2020-01-28,Johor,0,0,0
49,49,49,49,2020-01-28,Kedah,0,0,0
50,50,50,50,2020-01-28,Kelantan,0,0,0
51,51,51,51,2020-01-28,Melaka,0,0,0
52,52,52,52,2020-01-28,Negeri Sembilan,0,0,0
53,53,53,53,2020-01-28,Pahang,0,0,0
54,54,54,54,2020-01-28,Perak,0,0,0
55,55,55,55,2020-01-28,Perlis,0,0,0
56,56,56,56,2020-01-28,Pulau Pinang,0,0,0
57,57,57,57,2020-01-28,Sabah,0,0,0
58,58,58,58,2020-01-28,Sarawak,0,0,0
59,59,59,59,2020-01-28,Selangor,0,0,0
60,60,60,60,2020-01-28,Terengganu,0,0,0
61,61,61,61,2020-01-28,W.P. Kuala Lumpur,0,0,0
62,62,62,62,2020-01-28,W.P. Labuan,0,0,0
63,63,63,63,2020-01-28,W.P. Putrajaya,0,0,0
64,64,64,64,2020-01-29,Johor,2,2,0
65,65,65,65,2020-01-29,Kedah,1,1,0
66,66,66,66,2020-01-29,Kelantan,0,0,0
67,67,67,67,2020-01-29,Melaka,0,0,0
68,68,68,68,2020-01-29,Negeri Sembilan,0,0,0
69,69,69,69,2020-01-29,Pahang,0,0,0
70,70,70,70,2020-01-29,Perak,0,0,0
71,71,71,71,2020-01-29,Perlis,0,0,0
72,72,72,72,2020-01-29,Pulau Pinang,0,0,0
73,73,73,73,2020-01-29,Sabah,0,0,0
